id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
67094,USDC,Aurora,cBridge,0.0,0.03805772,0.03805772,1394267,https://api.coindix.com/vault/67094/redirect,False,False,C,yes
41087,DAI-USDT,BNB Chain,Biswap,0.0007,0.0369,0.0376,1919436,https://api.coindix.com/vault/41087/redirect,False,False,C,yes
41053,BUSD-USDT,BNB Chain,Biswap,0.0007,0.0356,0.0363,29871694,https://api.coindix.com/vault/41053/redirect,False,False,B,yes
15238,USDT-USDC,Cronos,Autofarm,0.03588745,0.0,0.03588745,316739,https://api.coindix.com/vault/15238/redirect,False,False,C,no
272357,DAI-USDT,Arbitrum,Uniswap,0.0356311,0.0,0.0356311,116487,https://api.coindix.com/vault/272357/redirect,False,False,C,no
272138,USDC-USDT,Ethereum,Uniswap,0.035309,0.0,0.035309,18372149,https://api.coindix.com/vault/272138/redirect,False,False,B,no
16706,USDT-USDC,Cronos,Beefy,0.03501067,0.0,0.03501067,341323,https://api.coindix.com/vault/16706/redirect,False,False,C,no
17623,DAI.e,Avalanche,Cream,0.034535,0.0,0.034535,150306,https://api.coindix.com/vault/17623/redirect,False,False,C,no
106973,USDC-USDT,Fuse,Beefy,0.033992,0.0,0.033992,37170,https://api.coindix.com/vault/106973/redirect,False,False,C,no
14942,USDC-USDT,Polygon,Autofarm,0.03394421,0.0,0.03394421,33096,https://api.coindix.com/vault/14942/redirect,False,False,C,no
34988,USDT,BNB Chain,Alpaca,0.03170549,0.00190598,0.03361147,77581578,https://api.coindix.com/vault/34988/redirect,False,False,A,yes
15117,FRAX-USDC,Moonriver,Autofarm,0.03309144,0.0,0.03309144,34070,https://api.coindix.com/vault/15117/redirect,False,False,C,no
67092,USDC,Avalanche,cBridge,0.00097816,0.03201445,0.03299262,4972375,https://api.coindix.com/vault/67092/redirect,False,False,C,yes
15267,USDT.e-DAI.e,Avalanche,Trader Joe,0.0323,0.0,0.0323,112572,https://api.coindix.com/vault/15267/redirect,False,False,C,no
16735,USDC-MAI,Fantom,Beefy,0.03195023,0.0,0.03195023,1075016,https://api.coindix.com/vault/16735/redirect,False,False,C,no
41065,USDC-USDT,BNB Chain,Biswap,0.0005,0.0313,0.0318,11973940,https://api.coindix.com/vault/41065/redirect,False,False,B,yes
164433,MAI-BUSD-USDC-USDT,BNB Chain,Ellipsis,0.0,0.031134,0.031134,824592,https://api.coindix.com/vault/164433/redirect,False,False,C,yes
142203,USDT-BUSD,BNB Chain,Beefy,0.03110216,0.0,0.03110216,46506,https://api.coindix.com/vault/142203/redirect,False,False,C,no
14790,USDT-BUSD,BNB Chain,Autofarm,0.03100014,0.0,0.03100014,146016,https://api.coindix.com/vault/14790/redirect,False,False,C,no
39834,USDC,BNB Chain,Alpaca,0.02722942,0.00374787,0.03097729,20657897,https://api.coindix.com/vault/39834/redirect,False,False,B,yes
16744,fUSDT-USDC-DAI,Fantom,Beefy,0.03084707,0.0,0.03084707,5380933,https://api.coindix.com/vault/16744/redirect,False,False,C,no
272342,USDC-DAI,Polygon,Uniswap,0.0301726,0.0,0.0301726,1699603,https://api.coindix.com/vault/272342/redirect,False,False,C,no
